event_id,session_id,event_timestamp,event_type,page_url,product_id,order_id,event_properties,created_at
2000001,1000001,2020-01-01T00:00:00+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 0}",2026-08-15T12:00:00+00:00
2000002,1000002,2020-01-01T00:00:00+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 1}",2026-08-15T12:00:00+00:00
2000003,1000002,2025-07-20T12:00:44+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 2}",2026-08-15T12:00:00+00:00
2000004,1000003,2025-07-15T04:27:10+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 3}",2026-08-15T12:00:00+00:00
2000005,1000004,2025-01-18T13:51:50+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 4}",2026-08-15T12:00:00+00:00
2000006,1000004,2025-01-18T13:52:55+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 5}",2026-08-15T12:00:00+00:00
2000007,1000004,2025-01-18T13:53:33+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 6}",2026-08-15T12:00:00+00:00
2000008,1000004,2025-01-18T13:53:35+00:00,checkout_start,https://northstar.example/checkout-start,,,"{""synthetic"": true, ""sequence"": 7}",2026-08-15T12:00:00+00:00
2000009,1000005,2025-08-30T15:57:45+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 8}",2026-08-15T12:00:00+00:00
2000010,1000005,2025-08-30T15:58:53+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 9}",2026-08-15T12:00:00+00:00
2000011,1000005,2025-08-30T15:59:09+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 10}",2026-08-15T12:00:00+00:00
2000012,1000006,2025-12-12T19:09:09+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 11}",2026-08-15T12:00:00+00:00
2000013,1000006,2025-12-12T19:09:56+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 12}",2026-08-15T12:00:00+00:00
2000014,1000007,2025-03-31T15:34:08+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 13}",2026-08-15T12:00:00+00:00
2000015,1000007,2025-03-31T15:34:11+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 14}",2026-08-15T12:00:00+00:00
2000016,1000007,2025-03-31T15:34:33+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 15}",2026-08-15T12:00:00+00:00
2000017,1000008,2026-02-19T16:12:19+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 16}",2026-08-15T12:00:00+00:00
2000018,1000009,2026-04-02T13:59:29+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 17}",2026-08-15T12:00:00+00:00
2000019,1000009,2026-04-02T14:00:36+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 18}",2026-08-15T12:00:00+00:00
2000020,1000010,2026-05-28T19:19:17+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 19}",2026-08-15T12:00:00+00:00
2000021,1000011,2025-03-09T09:52:12+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 20}",2026-08-15T12:00:00+00:00
2000022,1000012,2025-09-01T19:53:24+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 21}",2026-08-15T12:00:00+00:00
2000023,1000012,2025-09-01T19:54:05+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 22}",2026-08-15T12:00:00+00:00
2000024,1000012,2025-09-01T19:55:15+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 23}",2026-08-15T12:00:00+00:00
2000025,1000012,2025-09-01T19:55:20+00:00,checkout_start,https://northstar.example/checkout-start,,,"{""synthetic"": true, ""sequence"": 24}",2026-08-15T12:00:00+00:00
2000026,1000013,2026-02-02T13:47:32+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 25}",2026-08-15T12:00:00+00:00
2000027,1000013,2026-02-02T13:48:42+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 26}",2026-08-15T12:00:00+00:00
2000028,1000013,2026-02-02T13:48:51+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 27}",2026-08-15T12:00:00+00:00
2000029,1000013,2026-02-02T13:49:40+00:00,checkout_start,https://northstar.example/checkout-start,,,"{""synthetic"": true, ""sequence"": 28}",2026-08-15T12:00:00+00:00
2000030,1000014,2025-07-05T16:07:42+00:00,page_view,https://northstar.example/page-view,,,"{""synthetic"": true, ""sequence"": 29}",2026-08-15T12:00:00+00:00
2000031,1000014,2025-07-05T16:08:03+00:00,product_view,https://northstar.example/product-view,,,"{""synthetic"": true, ""sequence"": 30}",2026-08-15T12:00:00+00:00
2000032,1000014,2025-07-05T16:09:06+00:00,add_to_cart,https://northstar.example/add-to-cart,,,"{""synthetic"": true, ""sequence"": 31}",2026-08-15T12:00:00+00:00
2000033,1000014,2025-07-05T16:09:40+00:00,checkout_start,https://northstar.example/checkout-start,,,"{""synthetic"": true, ""sequence"": 32}",2026-08-15T12:00:00+00:00
