web_user_id,customer_id,anonymous_cookie_id,email_hash,created_at,updated_at
700001,100051.0,f5d63f1e27baff0434521fc83e64e93b,3120ff119c3b5dfdf8a1a71723efccd7f3ae150e90c6dd78d0dfba39c6848457,2023-08-16T00:00:00,2026-08-15T12:00:00
700002,,2d204afb15f67b8728a9f86515b21a3d,d7711fcf5a2015c6b21e6c495dc43c1cddc8d239bf5da824c5382b4e98691dc9,2026-04-13T00:00:00,2026-08-15T12:00:00
700003,100054.0,907d8bd5a4530b2898da0f229449684c,2049daabcf7170de31b03373d7cbd7ad3322b46d3d83b9441666085cbfb98ed4,2024-01-08T00:00:00,2026-08-15T12:00:00
700004,,e11acb9c9a2d42442c26cf2ec5954e25,137e6a5a6ae77fa6f7617b8e25674e4afafd291f21c4c934771b48d8168c29be,2023-10-27T00:00:00,2026-08-15T12:00:00
700005,100035.0,6edb266159599d2f55746805664c43d3,7c3fe30a9ee84696b421b1986a445cc45dd4c4975b23d99a72f9f471cd1ea665,2023-06-27T00:00:00,2026-08-15T12:00:00
700006,,8b3ecce465df0150a3e11d1d3710a445,128d8d75d9dc919be77a8359aa38b56341ae96489c25bbd3db458669250e4f42,2025-09-06T00:00:00,2026-08-15T12:00:00
700007,100050.0,54767db3c7c440458719b7b7cb64f824,d839e51b2038909f17bf8fe255d1cfbf2c493d4234fa439e0ede1e2cb1a684d9,2023-11-09T00:00:00,2026-08-15T12:00:00
700008,100031.0,6c3955a7ee45129225ec373379e103ec,7023b7910f704522579e6ff86610c09520fcc70a853dc8101a2c40b36be7cdfd,2023-04-16T00:00:00,2026-08-15T12:00:00
700009,,90d9cd7357e1d9f98cecae6379324c71,47ca2dc57ec5dd899e8d608b133907b44c63b00ceb7974a2a158e5f684855063,2025-06-03T00:00:00,2026-08-15T12:00:00
700010,100018.0,efdbf956d3de86716e1850b056e52fac,d30e7265be0a2c0ac5e66b9992244cc88951c22e086b8b6b7fe13c6dfa4b4222,2025-01-24T00:00:00,2026-08-15T12:00:00
700011,100012.0,3a50bb08fedec11445d9796f314b5154,67cbd390d1af00d65463ea91de1a3fa57f880832fa0f0c166b8289053eb9c655,2024-07-24T00:00:00,2026-08-15T12:00:00
700012,100008.0,be66ba6e5013e694b5e0649dff3c9225,b0abb9e7b7ba2c57780992241cc6b8fbf4602058134645a328c7c6a5524717ab,2023-04-16T00:00:00,2026-08-15T12:00:00
700013,100006.0,3d914dc4f30f77139a36d112f587f77c,7df8dbb3d3f223353c9db3c51b493a7b70433a21acd262cf6c63fd439bb8be10,2025-01-16T00:00:00,2026-08-15T12:00:00
700014,100059.0,9999e01e12f80c40e9c33b51190c427c,6d9fa4d96291071980d5f3bd9f7ef9296953055d7eea20c9618ea2f790cee905,2024-11-22T00:00:00,2026-08-15T12:00:00
700015,100045.0,59bc0ab5103751d289711fefa7708e8b,3c1a7119756531fce3a822de105dc724139467f5d6cdd7ad88a3e48e0dffc479,2023-12-13T00:00:00,2026-08-15T12:00:00
700016,,fdf8b262ab53a2d7b9983379f51788c9,5725a94cc466bdfd6c7fe6dcf0a815f235ebda8e6fa140e1827178736d4330bd,2023-07-13T00:00:00,2026-08-15T12:00:00
700017,,387b81c2a8b6a4925fe3c2388b00da8f,1a3c78506b4f24d495d5a74d4927471416bfb53f5831cf96481eaf14261a3e5b,2023-08-15T00:00:00,2026-08-15T12:00:00
700018,,f624ad6d69d6436b182576d2f3df3a1a,5db85d833ea44d05bc74324f58e8ac58378bc0dd01ea3c20ab02e49102a70679,2025-12-21T00:00:00,2026-08-15T12:00:00
700019,100026.0,7ccc6cf5fbdf1bf71faa721c78ae0407,de09ec8d91653f6faf3edea84611181cc4ccfe9e40e497fa85966b1efc0582d7,2025-04-01T00:00:00,2026-08-15T12:00:00
700020,100049.0,a6b47f8f2611946479682d6a67bbcf13,f26beaf753d2ac41e7b1be9a3f7ad492f93b201e059ee3d78dc49c104581e715,2026-03-03T00:00:00,2026-08-15T12:00:00
700021,100005.0,4e5ca671555d2adc4788c658b16ed949,6cd10334208a6078c01b51b6549be072b0ade1cb7d92acaaf37dd917ba055843,2024-06-26T00:00:00,2026-08-15T12:00:00
700022,100024.0,d75c8776ebea7414ffa6a514ed3c6231,c68ae806982de8694c8ed27e271118c090ec9bc0385167c49aa539f6480b169d,2023-04-04T00:00:00,2026-08-15T12:00:00
700023,100001.0,bd79cd1cd2af8406e1c2231e30f70eeb,3817d0089310a5549b07b2df1c310fc583b799c0cdd8af7e12cf4f351f68b2de,2026-06-05T00:00:00,2026-08-15T12:00:00
700024,100007.0,2182d25c335882621707529274291558,5a9bffb9199663d1967e4641640bd4a2bae2675f97d0bc0a1c9031d10cb7ec17,2026-02-10T00:00:00,2026-08-15T12:00:00
