sales_key,order_item_id,order_id,order_number,order_date_key,customer_key,product_key,store_key,employee_key,promotion_key,channel_key,quantity,gross_sales_amount,discount_amount,net_sales_amount,tax_amount,unit_cost_amount,cost_of_goods_sold,gross_profit_amount,currency_code,load_timestamp_utc,batch_id,source_system
4905314821790180,10000003,9000003,ORD-009000003,20260130,2067625431330998,6327175657987570,172548094,622601068,0,594711114,1,52.9,0.0,52.9,0.0,20.3,20.3,32.6,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
4133631176590340,10000004,9000004,ORD-009000004,20250408,731624427423375,7613645851540336,478277131,0,1816417506,1804690732,1,94.96,4.75,90.21,0.0,36.23,36.23,53.98,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
5185253314002417,10000005,9000005,ORD-009000005,20250721,8006566455282513,2828872884913695,172548094,1499355545,1803632588,594711114,1,55.34,8.3,47.04,3.76,28.8,28.8,18.24,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
7536494267451758,10000006,9000005,ORD-009000005,20250721,8006566455282513,3246278552185507,172548094,1499355545,1803632588,594711114,1,21.47,2.15,19.32,0.97,7.82,7.82,11.5,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
5200411807795617,10000007,9000005,ORD-009000005,20250721,8006566455282513,474492826655179,172548094,1499355545,1803632588,594711114,4,150.52,15.05,135.47,8.13,22.77,91.08,44.39,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
5040225904685541,10000008,9000005,ORD-009000005,20250721,8006566455282513,2147509539509020,172548094,1499355545,1803632588,594711114,1,56.51,8.48,48.03,2.88,35.78,35.78,12.25,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
5947288466272847,10000009,9000005,ORD-009000005,20250721,8006566455282513,4164323111342627,172548094,1499355545,1803632588,594711114,1,72.76,10.91,61.85,4.95,27.25,27.25,34.6,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
3479485020928409,10000010,9000006,ORD-009000006,20241018,7843084264826599,4164323111342627,304722673,0,0,1804690732,3,218.28,0.0,218.28,13.1,27.25,81.75,136.53,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
5887323183531711,10000011,9000006,ORD-009000006,20241018,7843084264826599,8143506748174746,304722673,0,0,1804690732,1,104.78,0.0,104.78,6.29,37.65,37.65,67.13,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
6247603626464653,10000012,9000006,ORD-009000006,20241018,7843084264826599,6861065333208789,304722673,0,0,1804690732,1,31.3,0.0,31.3,1.88,15.29,15.29,16.01,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,CONFORMED
