return_key,return_id,order_item_id,return_date_key,customer_key,product_key,store_key,return_quantity,refund_amount,return_reason,currency_code,load_timestamp_utc,batch_id,source_system
6059611847873086,RET-00000001,10000142,20250422,8731009255192300,0,478277131,1,140.14,Late delivery,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
3124027371721382,RET-00000002,10000353,20260320,4566388876505702,0,172548094,1,29.73,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
5572411473538665,RET-00000003,10000237,20240629,7092616233756724,4416817951113276,1260600486,1,15.04,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
762904213781254,RET-00000004,10000285,20250802,7500354694182940,7613645851540336,1260600486,1,90.21,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
4101766531908423,RET-00000005,10000076,20251227,3026491895390511,7613645851540336,304722673,1,80.71,Not as described,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
2138994831802872,RET-00000006,10000008,20250803,8006566455282513,2147509539509020,172548094,1,48.03,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
245182081512131,RET-00000007,10000062,20260810,6997281818109721,6861065333208789,304722673,1,26.61,Not as described,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
3745270300096297,RET-00000008,10000033,20260605,7104990232996649,7782516826468121,478277131,1,31.49,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
1435120504126490,RET-00000009,10000043,20250503,7458558497773169,5154982643078032,304722673,1,33.78,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
1106674839532088,RET-00000010,10000156,20260503,7516159783968868,4181652019472531,172548094,1,48.85,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
5292103128661241,RET-00000011,10000204,20250615,2818642453153213,386796752073287,61058121,1,121.91,Late delivery,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
6426922615202044,RET-00000012,10000343,20250519,1349015784083648,576097166161434,478277131,1,30.63,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
4734926297403985,RET-00000013,10000072,20260704,7884962455242156,4164323111342627,304722673,1,72.76,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
6812210265011890,RET-00000014,10000149,20250926,8731009255192300,3032648064728305,304722673,1,37.57,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
5349229646905786,RET-00000015,10000158,20260808,4825638724253484,3966191321720857,478277131,1,140.14,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
6592665085400807,RET-00000016,10000185,20240606,1349015784083648,2147509539509020,304722673,1,56.51,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
214329419289353,RET-00000017,10000083,20251122,2067625431330998,3716282090193685,304722673,1,71.61,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
4222599366598674,RET-00000018,10000028,20260714,3478244574355769,3032648064728305,1260600486,1,35.69,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
3512565965399546,RET-00000019,10000024,20250318,1463022394098365,7613645851540336,478277131,1,85.46,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
8968834929170091,RET-00000020,10000071,20260729,2409169931534460,4604252301016453,61058121,1,27.7,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
7250845567744216,RET-00000021,10000037,20251017,2409169931534460,7409741828878356,1260600486,1,50.46,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
2299779338506051,RET-00000022,10000349,20241109,8817168331941856,474492826655179,304722673,1,37.63,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
992554951292669,RET-00000023,10000228,20241013,1379634014891341,3246278552185507,304722673,1,18.25,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
2677131856011330,RET-00000024,10000341,20260512,1789297717188187,6327175657987570,304722673,1,52.9,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
4695043619862664,RET-00000025,10000380,20240621,7092616233756724,4416817951113276,1260600486,1,17.69,Wrong size,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
1837001068817916,RET-00000026,10000106,20251114,2757805831335922,2233084524616562,1260600486,1,25.17,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
1680222707417837,RET-00000027,10000335,20260525,591088753759883,4604252301016453,61058121,1,27.7,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
719180771658023,RET-00000028,10000312,20251211,1463022394098365,7664493151913903,172548094,1,38.33,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
41250876873059,RET-00000029,10000251,20260122,3144616615472082,3246278552185507,304722673,1,20.39,Late delivery,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
8957681100856288,RET-00000030,10000358,20260522,2818642453153213,6470234594172962,478277131,1,30.74,Not as described,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
3376327972932877,RET-00000031,10000183,20260317,2804663144207255,5386981819638820,304722673,1,49.63,Late delivery,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
7791159223680108,RET-00000032,10000383,20260724,8731009255192300,4549899389918930,1260600486,1,46.23,Damaged,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
3839441506793623,RET-00000033,10000160,20250820,2818642453153213,4129016370106678,1260600486,1,18.15,Changed mind,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,FILE_FEED
