web_session_key,session_id,session_date_key,customer_key,campaign_key,channel_key,session_count,duration_seconds,page_view_count,add_to_cart_count,converted_flag,converted_order_id,load_timestamp_utc,batch_id,source_system
5474310017355705,1000001,20250823,4142859620013041,0,1191153075,1,30,0,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
6304090252401870,1000002,20250720,0,942632375,202702072,1,203,0,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5664995365944986,1000003,20250715,0,0,1191153075,1,23,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1945616282418718,1000004,20250118,0,58564176,359664538,1,83,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7221666342306954,1000005,20250830,7884962455242156,973488713,854565296,1,17,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1961164824247277,1000006,20251212,2757805831335922,0,359664538,1,157,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
6268264885916384,1000007,20250331,3181997951349274,58564176,359664538,1,102,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
526909861620963,1000008,20260219,2808670043422653,591997275,854565296,1,16,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2196468262715921,1000009,20260402,0,1288116758,854565296,1,265,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2110085594429829,1000010,20260528,0,260443056,1597652039,1,40,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2891184737975075,1000011,20250309,794977933153845,591997275,1597652039,1,25,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
4591995049099225,1000012,20250901,7458558497773169,0,1179591018,1,62,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7847910082168834,1000013,20260202,0,591997275,202702072,1,63,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3311775739888260,1000014,20250705,7313078781324406,0,1191153075,1,65,1,1,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8305134585912295,1000015,20250829,5343910425030456,0,1179591018,1,58,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3505069557887689,1000016,20250601,0,0,854565296,1,184,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3718386714227245,1000017,20260116,7092616233756724,1032652094,1597652039,1,34,1,0,False,,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
