shipment_key,shipment_id,order_id,ship_date_key,promised_date_key,delivery_date_key,customer_key,store_key,carrier,delivery_days,on_time_flag,shipping_cost,load_timestamp_utc,batch_id,source_system
5256329993501350,30000001,9000002,20240212,20240216,20240213,2726281251948809,478277131,National Ground,1,True,7.99,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
984373123920567,30000002,9000006,20241019,20241020,20241025,7843084264826599,304722673,ParcelOne,6,False,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4825662893831396,30000003,9000007,20251109,20251111,20251115,1349015784083648,61058121,National Ground,6,False,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1292762052760920,30000004,9000011,20260227,20260228,20260302,731624427423375,304722673,ParcelOne,3,False,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4177212236298085,30000005,9000013,20250713,20250716,20250714,7500354694182940,61058121,ParcelOne,1,True,7.99,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8197596933397943,30000006,9000014,20250314,20250316,20250317,1463022394098365,478277131,ParcelOne,3,False,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8810206182853088,30000007,9000016,20260607,20260610,20260609,3478244574355769,1260600486,National Ground,2,True,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8881706209701894,30000008,9000019,20260502,20260507,20260506,7104990232996649,478277131,National Ground,4,True,4.99,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3663431419540137,30000009,9000021,20250913,20250916,20250914,2409169931534460,1260600486,ParcelOne,1,True,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6017704182350770,30000010,9000024,20250411,20250414,20250413,7458558497773169,304722673,SwiftShip,2,True,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
