marketing_spend_key,spend_date_key,campaign_key,channel_key,spend_amount,impressions,clicks,currency_code,load_timestamp_utc,batch_id,source_system
381681091388990,20250307,591997275,359664538,300.94,15603,1649,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5364248914426185,20250308,591997275,359664538,175.27,28342,275,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7054445018061130,20250309,591997275,359664538,115.17,6782,1433,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1099087300180987,20250310,591997275,359664538,214.7,49752,1171,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8837549889399043,20250311,591997275,359664538,368.19,30476,1872,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3443987816873194,20250312,591997275,359664538,225.96,13720,442,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
787523385464399,20250313,591997275,359664538,411.51,31093,1300,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8851237352545370,20250314,591997275,359664538,266.83,26581,1879,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2513589001502274,20250315,591997275,359664538,460.11,15709,1536,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7204459826891573,20250316,591997275,359664538,242.67,35859,1323,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
439628156865796,20250317,591997275,359664538,400.57,32927,913,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8545916716452138,20250318,591997275,359664538,210.81,18813,904,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
483078751247564,20250319,591997275,359664538,349.53,36669,1403,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3017731036375529,20250320,591997275,359664538,170.58,15555,183,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5425909335370898,20250321,591997275,359664538,439.87,11045,1689,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1630052586391824,20250322,591997275,359664538,437.89,15971,273,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1894538481774538,20250323,591997275,359664538,247.26,1656,1555,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
6949880906914228,20250324,591997275,359664538,437.31,8277,1262,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2361713010067367,20250325,591997275,359664538,96.11,41932,1189,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
171293207590067,20250326,591997275,359664538,292.52,48246,1522,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5963697745695395,20250327,591997275,359664538,247.99,46567,553,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1193595200841647,20250328,591997275,359664538,199.24,7657,1482,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
6814811245269534,20250329,591997275,359664538,18.74,30834,265,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
4083257175962219,20250330,591997275,359664538,472.77,41189,1050,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3245343428304868,20250331,591997275,359664538,145.84,13732,1189,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3328831133191692,20250401,591997275,359664538,75.37,46188,355,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2152237745442114,20250402,591997275,359664538,198.05,40198,141,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1858879391790632,20250403,591997275,359664538,180.4,40267,253,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8609585417682599,20250404,591997275,359664538,427.53,4724,881,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8255745653458705,20250405,591997275,359664538,400.68,43435,1813,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5527492220761169,20250406,591997275,359664538,104.14,20253,1108,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7372850602157101,20250407,591997275,359664538,172.79,34629,1480,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
997843572496542,20250408,591997275,359664538,63.34,16205,1951,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3970684718676665,20250409,591997275,359664538,418.97,8366,1041,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2799732485812621,20250410,591997275,359664538,93.25,26566,679,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
6024501282622701,20250411,591997275,359664538,457.53,43091,1825,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
376576771252112,20250412,591997275,359664538,380.97,14941,639,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7543660790450703,20250413,591997275,359664538,44.83,8892,20,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
3857852042226540,20250414,591997275,359664538,168.36,23788,1005,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2597012437388858,20250415,591997275,359664538,393.44,6730,1034,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
7353139943543830,20250416,591997275,359664538,140.91,49918,231,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
780024251060877,20250417,591997275,359664538,254.05,14276,1738,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2645553336874324,20250418,591997275,359664538,257.46,20966,690,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2676215594179516,20250419,591997275,359664538,168.4,13773,1774,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
905543511428275,20250420,591997275,359664538,44.5,15042,664,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2421926063147704,20250421,591997275,359664538,422.47,38623,133,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
83201277912925,20250422,591997275,359664538,245.64,35426,64,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
5573849187256698,20250423,591997275,359664538,136.18,2920,1371,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2962532095136985,20250424,591997275,359664538,479.95,10221,1731,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
4065198249994653,20250424,973488713,854565296,229.11,20222,1834,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
2505921905570059,20250425,591997275,359664538,463.18,49485,1125,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
17644954469081,20250425,973488713,854565296,691.9,40197,608,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
8812475479260282,20250426,591997275,359664538,219.35,13875,540,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1739816039934235,20250426,973488713,854565296,690.27,39961,1607,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
1460103990725224,20250427,591997275,359664538,267.89,26466,1776,USD,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,POSTGRES_DIGITAL
