product_key,sku,product_name,category_name,brand,supplier_code,unit_cost,list_price,effective_start_date,effective_end_date,is_current,record_hash,load_timestamp_utc,batch_id,source_system
0,UNKNOWN,Unknown Product,Unknown,Unknown,UNKNOWN,,,1900-01-01,9999-12-31,True,,2026-08-15T12:00:00+00:00,SYSTEM,SYSTEM
474492826655179,NRT-OUT-10001,Aurora Works Mat 1,Outdoor,Cedar & Finch,SUP-05008,23.42,37.63,2026-08-15,9999-12-31,True,bfee35e81d8c5fe7639d981c84fd8cdcb224f46e86c3059a5cbbf072ef09cb35,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5251926197680486,NRT-ELE-10002,Orbit & Oak Organizer 2,Electronics,Aurora Works,SUP-05001,22.45,62.06,2026-08-15,9999-12-31,True,60e72ca12d761e363f72226d9f32619462cea6ff4024b66023349f0ddc29704d,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4181652019472531,NRT-PET-10003,Northline Lamp 3,Pet Supplies,Northline,SUP-05007,36.16,54.28,2026-08-15,9999-12-31,True,ea666215f44df73fc2180e6ed45b627519e067e303c2adc006f60db21fb1b7c6,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4604252301016453,NRT-TRA-10004,Blue Peak Lamp 4,Travel,Orbit & Oak,SUP-05006,18.61,32.58,2026-08-15,9999-12-31,True,6f85d9e7ca531ab55b68294b439e0a533fbfd23b527cc6a3a652b17707a33f48,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7613645851540336,NRT-PET-10005,Northline Organizer 5,Pet Supplies,Northline,SUP-05003,40.12,94.96,2026-08-15,9999-12-31,True,aca369f9c5a0028e13155066a337ded0382bead9e76e5763ca3f6df636b0bba2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6470234594172962,NRT-FIT-10006,Blue Peak Blender 6,Fitness,Aurora Works,SUP-05007,17.99,36.17,2026-08-15,9999-12-31,True,d475dff41e2d339ca69b0b93b5c6bad54d02d7718bbd5d82af5087159deabdf4,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8691581070912008,NRT-OUT-10007,Cedar & Finch Headphones 7,Outdoor,Northline,SUP-05005,26.59,75.41,2026-08-15,9999-12-31,True,75fd23879a0143cbf25b849baed83ebc51784b7355777c6b62983be16890361e,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4129016370106678,NRT-TRA-10008,Blue Peak Bottle 8,Travel,Aurora Works,SUP-05007,12.64,18.15,2026-08-15,9999-12-31,True,c0460e051f5187e5c8c19997d23fdb5ab74ad6f76096c0625102811d4724f6a2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2147509539509020,NRT-OUT-10009,Cedar & Finch Keyboard 9,Outdoor,Northline,SUP-05005,34.3,56.51,2026-08-15,9999-12-31,True,3bca73f4e38967ad694ce148fddbeece4e5ab0458e80b1b1524e7cc7e66ee982,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7918986721572446,NRT-FIT-10010,Aurora Works Headphones 10,Fitness,Orbit & Oak,SUP-05006,16.95,31.14,2026-08-15,9999-12-31,True,36a230683e7f3d10b6c64f59a872d2784ef55d7bf43345e80d239ce9450ed532,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4164323111342627,NRT-PER-10011,Orbit & Oak Organizer 11,Personal Care,Aurora Works,SUP-05003,29.97,72.76,2026-08-15,9999-12-31,True,f678d5701e4fabc3cc66060d4e221f6dd3b21a79fd16dae423537aab62e6b7ab,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3246278552185507,NRT-OUT-10012,Cedar & Finch Mat 12,Outdoor,Aurora Works,SUP-05004,7.21,21.47,2026-08-15,9999-12-31,True,aa0d3605f7edeeccb7425fe13000e3335598d7aef8f1b903c661e04417e2e730,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3716282090193685,NRT-ELE-10013,Orbit & Oak Keyboard 13,Electronics,Aurora Works,SUP-05001,33.95,84.25,2026-08-15,9999-12-31,True,cbc7e09b4d26a61b6d82bd72bd33ee706458562e302d83dd18a65a1c5cb34204,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7664493151913903,NRT-TRA-10014,Northline Keyboard 14,Travel,Aurora Works,SUP-05006,17.3,38.33,2026-08-15,9999-12-31,True,10e7a27f330422e5cead04bb5a6b244f3f8dd961877ff471aa2e56406fa808a0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4549899389918930,NRT-FIT-10015,Aurora Works Headphones 15,Fitness,Northline,SUP-05001,35.33,48.67,2026-08-15,9999-12-31,True,ef6bcb663b9b9652a140c3bf66d289086b09a84ee2ce356b1c8cbb01c4ba3638,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5386981819638820,NRT-KIT-10016,Blue Peak Organizer 16,Kitchen,Orbit & Oak,SUP-05002,30.63,55.14,2026-08-15,9999-12-31,True,0100337030da7586122e0993e033959326c3fc65c4adf96be3647b9ef0229af4,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3966191321720857,NRT-OUT-10017,Cedar & Finch Blender 17,Outdoor,Cedar & Finch,SUP-05001,64.76,140.14,2026-08-15,9999-12-31,True,96bb4bdb3fac7864b6f6b8aa3ac7cae3fe4425c456bc34ef8680c86aaad7244e,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2828872884913695,NRT-ELE-10018,Cedar & Finch Organizer 18,Electronics,Blue Peak,SUP-05007,28.59,55.34,2026-08-15,9999-12-31,True,7f42d55279471ae152b6141d9d91f032d9792c76c977309b146b62bd114c6fc4,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6327175657987570,NRT-KIT-10019,Aurora Works Bottle 19,Kitchen,Blue Peak,SUP-05007,20.82,52.9,2026-08-15,9999-12-31,True,0c9ee57ed4518b8c6540d85909fa23494272c083c3942ad064081a9b287f9f10,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7782516826468121,NRT-PER-10020,Orbit & Oak Headphones 20,Personal Care,Orbit & Oak,SUP-05001,13.75,34.99,2026-08-15,9999-12-31,True,37584f83371a7d730a5eeccb71f14a0eb20d39b94de22854641ff7afebef0e31,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3032648064728305,NRT-OUT-10021,Aurora Works Organizer 21,Outdoor,Orbit & Oak,SUP-05001,21.72,37.57,2026-08-15,9999-12-31,True,01a93203ffaf1ac468ffaea91c15a8db0455555f7c516ff8d065c3bc8771fe57,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
386796752073287,NRT-PER-10022,Aurora Works Headphones 22,Personal Care,Blue Peak,SUP-05001,56.41,135.46,2026-08-15,9999-12-31,True,5f4d491fcf8d3422b99a94c00c333a04699d4cab518f1a810f0b698665320995,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
576097166161434,NRT-FIT-10023,Aurora Works Mat 23,Fitness,Cedar & Finch,SUP-05004,21.34,32.24,2026-08-15,9999-12-31,True,2809814efae644a0bd0de1b1ca5efcfc0b510ddf6b49a8b7c2f0332d8d24d1ed,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8143506748174746,NRT-PET-10024,Aurora Works Organizer 24,Pet Supplies,Blue Peak,SUP-05006,37.45,104.78,2026-08-15,9999-12-31,True,63543635c1642d157885100bd1a0567a8b82d668dd2b03e6630a60004312e3c7,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6861065333208789,NRT-FIT-10025,Northline Lamp 25,Fitness,Orbit & Oak,SUP-05007,14.74,31.3,2026-08-15,9999-12-31,True,44e20073fe97e16d666c33e21bf274b4b34a7e00dfcab261ed3f1e6dd812dd8a,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4416817951113276,NRT-FIT-10026,Aurora Works Backpack 26,Fitness,Blue Peak,SUP-05006,11.67,17.69,2026-08-15,9999-12-31,True,a7095a05ae9e7157f1babc4e5c8b949b7a44ae577222555cec83cdf5be025b4c,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7409741828878356,NRT-FIT-10027,Cedar & Finch Backpack 27,Fitness,Blue Peak,SUP-05005,29.11,50.46,2026-08-15,9999-12-31,True,e8bfed51d51fd697d1ecbdf67d5c17766b03f4de11a0f5d3bf1e3977aec2299b,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1766611708860200,NRT-KIT-10028,Cedar & Finch Organizer 28,Kitchen,Northline,SUP-05005,13.67,19.79,2026-08-15,9999-12-31,True,df69ec86c617f1a2dd7c32fb3a6f851f02b50c28164b619ae12a5610ac346760,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2233084524616562,NRT-PER-10029,Cedar & Finch Lamp 29,Personal Care,Aurora Works,SUP-05004,17.38,27.97,2026-08-15,9999-12-31,True,f88d6e33862bb5a62aa679b9a692dea59752321b793c15c71573a3c743150149,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5154982643078032,NRT-HOM-10030,Blue Peak Bottle 30,Home Office,Orbit & Oak,SUP-05005,21.93,33.78,2026-08-15,9999-12-31,True,191a5a735f09f16616f3f7dd0e4f3cb99f3b5c72d6f04060453f9653b16f9c28,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
