inventory_snapshot_key,snapshot_date_key,store_key,product_key,quantity_on_hand,quantity_reserved,reorder_point,stockout_risk_flag,inventory_value_amount,load_timestamp_utc,batch_id,source_system
8420428261849890,20260731,304722673,7613645851540336,88,8,13,False,3530.56,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7039304676705600,20260731,304722673,2828872884913695,123,1,9,False,3516.57,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7462515064829554,20260731,304722673,474492826655179,3,3,15,True,70.26,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2045471463434925,20260731,304722673,7782516826468121,83,6,20,False,1141.25,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6318722641790699,20260731,304722673,1766611708860200,61,1,18,False,833.87,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8397401374097086,20260731,304722673,7918986721572446,88,8,16,False,1491.6,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4243406099502987,20260731,304722673,4129016370106678,47,4,11,False,594.08,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1217086518060236,20260731,304722673,3246278552185507,15,5,13,True,108.15,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3137594914859630,20260731,304722673,5386981819638820,91,6,5,False,2787.33,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3984209369702650,20260731,304722673,4164323111342627,107,8,18,False,3206.79,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4075779936245795,20260731,478277131,2233084524616562,4,2,6,True,69.52,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8868972041727043,20260731,478277131,8691581070912008,2,2,6,True,53.18,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7672217424528107,20260731,478277131,7664493151913903,21,2,17,False,363.3,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
77445924476394,20260731,478277131,4181652019472531,48,4,10,False,1735.68,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3174338409461883,20260731,478277131,474492826655179,80,6,18,False,1873.6,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3657294170374412,20260731,478277131,2147509539509020,71,5,5,False,2435.3,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4805061701955864,20260731,478277131,2828872884913695,38,0,17,False,1086.42,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5623787444969268,20260731,478277131,6861065333208789,78,6,6,False,1149.72,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2174652710587070,20260731,478277131,6470234594172962,15,6,9,True,269.85,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5512380028475786,20260731,478277131,4416817951113276,80,8,12,False,933.6,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4243022447286029,20260731,61058121,3032648064728305,32,6,18,False,695.04,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7245905706159020,20260731,61058121,576097166161434,41,4,11,False,874.94,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3000701553656444,20260731,61058121,5154982643078032,104,7,13,False,2280.72,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5715683741524588,20260731,61058121,8143506748174746,91,7,10,False,3407.95,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5574623389017761,20260731,61058121,4604252301016453,60,2,11,False,1116.6,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8763402731347210,20260731,61058121,7782516826468121,123,0,10,False,1691.25,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6977517986018847,20260731,61058121,7918986721572446,81,6,13,False,1372.95,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5621748161169939,20260731,61058121,4164323111342627,44,3,10,False,1318.68,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4415858902128612,20260731,61058121,5386981819638820,25,6,17,False,765.75,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5022706069743754,20260731,61058121,6327175657987570,10,4,11,True,208.2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2215800698563342,20260731,172548094,3716282090193685,61,3,6,False,2070.95,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1862627175841632,20260731,172548094,8143506748174746,5,4,19,True,187.25,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8966771158640312,20260731,172548094,6327175657987570,87,7,9,False,1811.34,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7247956338186600,20260731,172548094,4549899389918930,32,2,19,False,1130.56,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8125998900691984,20260731,172548094,7613645851540336,56,1,11,False,2246.72,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
4863081335955102,20260731,172548094,2233084524616562,0,0,9,True,0.0,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1519601550935274,20260731,172548094,4604252301016453,48,0,19,False,893.28,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
5524027396593793,20260731,172548094,7664493151913903,94,1,11,False,1626.2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2124420954237404,20260731,172548094,2147509539509020,84,8,5,False,2881.2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2422744151658000,20260731,172548094,5251926197680486,9,1,10,True,202.05,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2257453207143679,20260731,1260600486,7918986721572446,76,6,9,False,1288.2,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
106505264523014,20260731,1260600486,3716282090193685,87,7,8,False,2953.65,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2809323930532295,20260731,1260600486,3246278552185507,116,8,10,False,836.36,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7646302316631673,20260731,1260600486,8691581070912008,56,6,17,False,1489.04,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6587877395620430,20260731,1260600486,5251926197680486,9,4,6,True,202.05,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
6311964687741051,20260731,1260600486,576097166161434,65,1,8,False,1387.1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2445967218887888,20260731,1260600486,7664493151913903,87,5,11,False,1505.1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3889393429652361,20260731,1260600486,4181652019472531,43,3,19,False,1554.88,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
527454530801380,20260731,1260600486,474492826655179,125,4,18,False,2927.5,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
1154772040999686,20260731,1260600486,4416817951113276,59,8,10,False,688.53,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
